T31,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
705,Slovenia,1995,Resident patent filings (per million population),158,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
705,Slovenia,2005,Resident patent filings (per million population),215,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
705,Slovenia,2010,Resident patent filings (per million population),282,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
705,Slovenia,1995,Grants of patents (number),380,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
705,Slovenia,2005,Grants of patents (number),285,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
705,Slovenia,2010,Grants of patents (number),250,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
705,Slovenia,2005,Patents in force (number),"5,201",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
705,Slovenia,2010,Patents in force (number),"1,485",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
90,Solomon Islands,1985,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
706,Somalia,1985,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,1985,Resident patent filings (per million population),120,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,1995,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2005,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2010,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2015,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2016,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2017,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,1985,Grants of patents (number),"6,768",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,1995,Grants of patents (number),"5,113",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2005,Grants of patents (number),"1,831",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2010,Grants of patents (number),"5,331",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2015,Grants of patents (number),"4,499",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2016,Grants of patents (number),"4,255",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2017,Grants of patents (number),"5,535",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2015,Patents in force (number),"58,624",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2016,Patents in force (number),"58,235",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
710,South Africa,2017,Patents in force (number),"63,151",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,1985,Resident patent filings (per million population),56,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,1995,Resident patent filings (per million population),52,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2005,Resident patent filings (per million population),92,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2010,Resident patent filings (per million population),107,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2015,Resident patent filings (per million population),93,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2016,Resident patent filings (per million population),93,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2017,Resident patent filings (per million population),83,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,1985,Grants of patents (number),"9,115",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,1995,Grants of patents (number),686,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2005,Grants of patents (number),"2,769",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2010,Grants of patents (number),"2,773",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2015,Grants of patents (number),"2,561",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2016,Grants of patents (number),"2,308",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2017,Grants of patents (number),"2,011",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2005,Patents in force (number),"39,297",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2010,Patents in force (number),"175,687",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2015,Patents in force (number),"115,591",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2016,Patents in force (number),"115,070",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
724,Spain,2017,Patents in force (number),"108,732",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2005,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2010,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2015,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2016,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2017,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,1985,Grants of patents (number),112,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,1995,Grants of patents (number),159,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2005,Grants of patents (number),180,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2010,Grants of patents (number),504,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2015,Grants of patents (number),262,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2016,Grants of patents (number),123,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2017,Grants of patents (number),178,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2016,Patents in force (number),710,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
144,Sri Lanka,2017,Patents in force (number),826,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2010,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2015,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2016,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2017,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2005,Grants of patents (number),174,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2010,Grants of patents (number),125,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2015,Grants of patents (number),196,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2016,Grants of patents (number),164,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2017,Grants of patents (number),177,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2015,Patents in force (number),196,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2016,Patents in force (number),164,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
729,Sudan,2017,Patents in force (number),177,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,1985,Resident patent filings (per million population),460,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,1995,Resident patent filings (per million population),446,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2005,Resident patent filings (per million population),555,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2010,Resident patent filings (per million population),614,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2015,Resident patent filings (per million population),599,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2016,Resident patent filings (per million population),563,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2017,Resident patent filings (per million population),574,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,1985,Grants of patents (number),"5,681",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,1995,Grants of patents (number),"1,541",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2005,Grants of patents (number),"1,911",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2010,Grants of patents (number),"1,380",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2015,Grants of patents (number),889,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2016,Grants of patents (number),866,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2017,Grants of patents (number),"1,031",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2005,Patents in force (number),"102,741",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2010,Patents in force (number),"96,796",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2015,Patents in force (number),"92,607",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2016,Patents in force (number),"93,545",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
752,Sweden,2017,Patents in force (number),"96,876",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,1985,Resident patent filings (per million population),493,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,1995,Resident patent filings (per million population),410,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2005,Resident patent filings (per million population),897,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2010,Resident patent filings (per million population),"1,069",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2015,Resident patent filings (per million population),"1,035",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2016,Resident patent filings (per million population),"1,042",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2017,Resident patent filings (per million population),"1,018",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,1985,Grants of patents (number),"6,421",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,1995,Grants of patents (number),"1,303",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2010,Grants of patents (number),741,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2015,Grants of patents (number),687,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2016,Grants of patents (number),617,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2017,Grants of patents (number),771,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2005,Patents in force (number),"99,531",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2010,Patents in force (number),"123,033",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2015,Patents in force (number),"162,761",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2016,Patents in force (number),"193,883",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
756,Switzerland,2017,Patents in force (number),"208,022",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,1995,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,2005,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,2015,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,2017,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,1995,Grants of patents (number),71,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,2005,Grants of patents (number),72,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,2015,Grants of patents (number),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,2016,Grants of patents (number),32,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,2017,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
760,Syrian Arab Republic,2017,Patents in force (number),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
762,Tajikistan,1995,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
762,Tajikistan,2005,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
762,Tajikistan,2010,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
762,Tajikistan,1995,Grants of patents (number),47,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
762,Tajikistan,2010,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
762,Tajikistan,2010,Patents in force (number),248,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
762,Tajikistan,2015,Patents in force (number),237,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,1985,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,1995,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2005,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2010,Resident patent filings (per million population),18,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2015,Resident patent filings (per million population),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2016,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2017,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,1985,Grants of patents (number),45,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,1995,Grants of patents (number),470,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2005,Grants of patents (number),553,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2010,Grants of patents (number),772,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2015,Grants of patents (number),"1,364",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2016,Grants of patents (number),"1,838",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2017,Grants of patents (number),"3,080",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2010,Patents in force (number),"10,201",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2015,Patents in force (number),"11,681",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2016,Patents in force (number),"12,193",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
764,Thailand,2017,Patents in force (number),"16,591",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
780,Trinidad and Tobago,1995,Resident patent filings (per million population),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
780,Trinidad and Tobago,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
780,Trinidad and Tobago,2015,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
780,Trinidad and Tobago,2016,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
780,Trinidad and Tobago,1995,Grants of patents (number),87,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
780,Trinidad and Tobago,2015,Grants of patents (number),33,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
780,Trinidad and Tobago,2016,Grants of patents (number),60,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
780,Trinidad and Tobago,2017,Grants of patents (number),66,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,1995,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2005,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2010,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2015,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2016,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,1995,Grants of patents (number),141,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2005,Grants of patents (number),338,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2010,Grants of patents (number),620,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2015,Grants of patents (number),589,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2016,Grants of patents (number),583,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
788,Tunisia,2017,Grants of patents (number),555,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,1985,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,1995,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2005,Resident patent filings (per million population),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2010,Resident patent filings (per million population),48,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2015,Resident patent filings (per million population),74,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2016,Resident patent filings (per million population),85,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2017,Resident patent filings (per million population),112,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,1985,Grants of patents (number),385,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,1995,Grants of patents (number),763,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2005,Grants of patents (number),823,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2015,Grants of patents (number),"1,723",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2016,Grants of patents (number),"1,764",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2017,Grants of patents (number),"1,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2010,Patents in force (number),"24,969",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2015,Patents in force (number),"54,673",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2016,Patents in force (number),"63,575",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
792,Turkey,2017,Patents in force (number),"68,886",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
800,Uganda,1985,Grants of patents (number),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
800,Uganda,2017,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
800,Uganda,2016,Patents in force (number),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,1995,Resident patent filings (per million population),93,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2005,Resident patent filings (per million population),75,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2010,Resident patent filings (per million population),56,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2015,Resident patent filings (per million population),50,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2016,Resident patent filings (per million population),50,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2017,Resident patent filings (per million population),51,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,1995,Grants of patents (number),"1,350",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2005,Grants of patents (number),"3,719",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2010,Grants of patents (number),"3,874",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2015,Grants of patents (number),"3,014",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2016,Grants of patents (number),"2,813",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2017,Grants of patents (number),"2,590",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2005,Patents in force (number),"37,336",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2010,Patents in force (number),"24,622",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2015,Patents in force (number),"25,737",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2016,Patents in force (number),"24,760",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
804,Ukraine,2017,Patents in force (number),"23,705",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
784,United Arab Emirates,2015,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
784,United Arab Emirates,2017,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
784,United Arab Emirates,2015,Grants of patents (number),177,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
784,United Arab Emirates,2016,Grants of patents (number),222,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
784,United Arab Emirates,2015,Patents in force (number),653,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
